Type,DataName,D1,D2,D3
API,petstore_base_url,https://petstore.swagger.io/v2,https://petstore.swagger.io/v2,https://petstore.swagger.io/v2
API,add_pet_endpoint,/pet,/pet,/pet
API,get_pet_by_id_endpoint,/pet/123,/pet/456,/pet/789
API,get_pet_not_found_endpoint,/pet/999999,/pet/888888,/pet/777777
API,update_pet_endpoint,/pet,/pet,/pet
API,update_pet_form_endpoint,/pet/123,/pet/456,/pet/789
API,delete_pet_endpoint,/pet/123,/pet/456,/pet/789
API,get_pets_by_status_available_endpoint,/pet/findByStatus?status=available,/pet/findByStatus?status=available,/pet/findByStatus?status=available
API,get_pets_by_status_pending_endpoint,/pet/findByStatus?status=pending,/pet/findByStatus?status=pending,/pet/findByStatus?status=pending
API,get_pets_by_status_sold_endpoint,/pet/findByStatus?status=sold,/pet/findByStatus?status=sold,/pet/findByStatus?status=sold
API,add_pet_payload,y/Petstore/payloads/add_pet_d1.json,y/Petstore/payloads/add_pet_d2.json,y/Petstore/payloads/add_pet_d3.json
API,update_pet_payload,y/Petstore/payloads/update_pet_d1.json,y/Petstore/payloads/update_pet_d2.json,y/Petstore/payloads/update_pet_d3.json
API,update_pet_form_data,name=Spot&status=pending,name=Fluffy&status=available,name=Tweety&status=sold
API,updated_pet_name,doggie_updated,kitty_updated,birdie_updated
API,invalid_pet_payload,"{""id"":""invalid"",""name"":"""",""status"":""invalid_status""}","{""name"":""test""}","{""id"":-1,""name"":""test""}"
API,inventory_endpoint,/store/inventory,/store/inventory,/store/inventory
API,add_order_endpoint,/store/order,/store/order,/store/order
API,get_order_by_id_endpoint,/store/order/1,/store/order/2,/store/order/3
API,get_order_not_found_endpoint,/store/order/999999,/store/order/888888,/store/order/777777
API,delete_order_endpoint,/store/order/1,/store/order/2,/store/order/3
API,add_order_payload,y/Petstore/payloads/add_order_d1.json,y/Petstore/payloads/add_order_d2.json,y/Petstore/payloads/add_order_d3.json
API,create_user_endpoint,/user,/user,/user
API,get_user_by_username_endpoint,/user/testuser1,/user/testuser2,/user/testuser3
API,get_user_not_found_endpoint,/user/nonexistentuser1,/user/nonexistentuser2,/user/nonexistentuser3
API,update_user_endpoint,/user/testuser1,/user/testuser2,/user/testuser3
API,delete_user_endpoint,/user/testuser1,/user/testuser2,/user/testuser3
API,user_username,testuser1,testuser2,testuser3
API,user_login_endpoint,/user/login?username=testuser1&password=testpass1,/user/login?username=testuser2&password=testpass2,/user/login?username=testuser3&password=testpass3
API,user_logout_endpoint,/user/logout,/user/logout,/user/logout
API,create_users_array_endpoint,/user/createWithArray,/user/createWithArray,/user/createWithArray
API,create_users_list_endpoint,/user/createWithList,/user/createWithList,/user/createWithList
API,create_user_payload,y/Petstore/payloads/create_user_d1.json,y/Petstore/payloads/create_user_d2.json,y/Petstore/payloads/create_user_d3.json
API,update_user_payload,y/Petstore/payloads/update_user_d1.json,y/Petstore/payloads/update_user_d2.json,y/Petstore/payloads/update_user_d3.json
API,create_users_array_payload,"[{""id"":20,""username"":""arrayuser1"",""firstName"":""Array"",""lastName"":""User1"",""email"":""arrayuser1@example.com"",""password"":""arraypass1"",""phone"":""1111111111"",""userStatus"":1},{""id"":21,""username"":""arrayuser2"",""firstName"":""Array"",""lastName"":""User2"",""email"":""arrayuser2@example.com"",""password"":""arraypass2"",""phone"":""2222222222"",""userStatus"":1}]","[{""id"":22,""username"":""arrayuser3"",""firstName"":""Array"",""lastName"":""User3"",""email"":""arrayuser3@example.com"",""password"":""arraypass3"",""phone"":""3333333333"",""userStatus"":1}]","[{""id"":23,""username"":""arrayuser4"",""firstName"":""Array"",""lastName"":""User4"",""email"":""arrayuser4@example.com"",""password"":""arraypass4"",""phone"":""4444444444"",""userStatus"":1}]"
API,create_users_list_payload,"[{""id"":30,""username"":""listuser1"",""firstName"":""List"",""lastName"":""User1"",""email"":""listuser1@example.com"",""password"":""listpass1"",""phone"":""5555555555"",""userStatus"":1},{""id"":31,""username"":""listuser2"",""firstName"":""List"",""lastName"":""User2"",""email"":""listuser2@example.com"",""password"":""listpass2"",""phone"":""6666666666"",""userStatus"":1}]","[{""id"":32,""username"":""listuser3"",""firstName"":""List"",""lastName"":""User3"",""email"":""listuser3@example.com"",""password"":""listpass3"",""phone"":""7777777777"",""userStatus"":1}]","[{""id"":33,""username"":""listuser4"",""firstName"":""List"",""lastName"":""User4"",""email"":""listuser4@example.com"",""password"":""listpass4"",""phone"":""8888888888"",""userStatus"":1}]"
API,error_404_endpoint,/pet/999999,/store/order/999999,/user/nonexistentuser
API,error_400_payload,"{""invalid"":""data""}","{""id"":""not_a_number""}","{""status"":""invalid_status_value""}"
API,timeout,30,30,30
API,retry_count,3,3,3
