Type,DataName,D1,D2,D3
UI,hk_base_url,https://the-internet.herokuapp.com/,https://the-internet.herokuapp.com/,https://the-internet.herokuapp.com/
UI,hk_add_remove_elements_link,"css==a[href=""/add_remove_elements/""]","css==a[href=""/add_remove_elements/""]","css==a[href=""/add_remove_elements/""]"
UI,hk_checkboxes_link,"css==a[href=""/checkboxes""]","css==a[href=""/checkboxes""]","css==a[href=""/checkboxes""]"
UI,hk_drag_and_drop_link,"css==a[href=""/drag_and_drop""]","css==a[href=""/drag_and_drop""]","css==a[href=""/drag_and_drop""]"
UI,hk_dropdown_link,"css==a[href=""/dropdown""]","css==a[href=""/dropdown""]","css==a[href=""/dropdown""]"
UI,hk_file_upload_link,"css==a[href=""/upload""]","css==a[href=""/upload""]","css==a[href=""/upload""]"
UI,hk_add_element_button,"css==button[onclick=""addElement()""]","css==button[onclick=""addElement()""]","css==button[onclick=""addElement()""]"
UI,hk_delete_button,css==.added-manually:nth-child(1),css==.added-manually:nth-child(1),css==.added-manually:nth-child(1)
UI,hk_checkbox1,"css==input[type=""checkbox""]:nth-child(1)","css==input[type=""checkbox""]:nth-child(1)","css==input[type=""checkbox""]:nth-child(1)"
UI,hk_checkbox2,"css==input[type=""checkbox""]:nth-child(3)","css==input[type=""checkbox""]:nth-child(3)","css==input[type=""checkbox""]:nth-child(3)"
UI,hk_column_a,css==#column-a,css==#column-a,css==#column-a
UI,hk_column_b,css==#column-b,css==#column-b,css==#column-b
UI,hk_dropdown_element,css==#dropdown,css==#dropdown,css==#dropdown
UI,hk_option1,"css==option[value=""1""]","css==option[value=""1""]","css==option[value=""1""]"
UI,hk_option2,"css==option[value=""2""]","css==option[value=""2""]","css==option[value=""2""]"
UI,hk_file_input,css==#file-upload,css==#file-upload,css==#file-upload
UI,hk_upload_button,css==#file-submit,css==#file-submit,css==#file-submit
UI,hk_uploaded_file,css==#uploaded-files,css==#uploaded-files,css==#uploaded-files
UI,hk_expected_added_text,Delete,Delete,Delete
UI,hk_expected_checkbox1_state,checked,checked,checked
UI,hk_expected_checkbox2_state,unchecked,unchecked,unchecked
UI,hk_expected_column_a_text,Column B,Column B,Column B
UI,hk_expected_column_b_text,Column A,Column A,Column A
UI,hk_expected_option_text,Option 1,Option 1,Option 1
UI,hk_expected_upload_text,\y\test.txt,\y\test.txt,\y\test.txt
UI,hk_dynamic_controls_link,"css==a[href=""/dynamic_controls""]","css==a[href=""/dynamic_controls""]","css==a[href=""/dynamic_controls""]"
UI,hk_remove_add_button,"css==button[onclick=""swapCheckbox()""]","css==button[onclick=""swapCheckbox()""]","css==button[onclick=""swapCheckbox()""]"
UI,hk_enable_disable_button,"css==button[onclick=""swapInput()""]","css==button[onclick=""swapInput()""]","css==button[onclick=""swapInput()""]"
UI,hk_dynamic_checkbox,"css==input[type=""checkbox""]","css==input[type=""checkbox""]","css==input[type=""checkbox""]"
UI,hk_dynamic_input,"css==#input-example input[type=""text""]","css==#input-example input[type=""text""]","css==#input-example input[type=""text""]"
UI,hk_loading_bar,css==#loading,css==#loading,css==#loading
UI,hk_expected_enabled_text,It's enabled!,It's enabled!,It's enabled!
UI,hk_js_alerts_link,"css==a[href=""/javascript_alerts""]","css==a[href=""/javascript_alerts""]","css==a[href=""/javascript_alerts""]"
UI,hk_alert_button,"css==button[onclick=""jsAlert()""]","css==button[onclick=""jsAlert()""]","css==button[onclick=""jsAlert()""]"
UI,hk_confirm_button,"css==button[onclick=""jsConfirm()""]","css==button[onclick=""jsConfirm()""]","css==button[onclick=""jsConfirm()""]"
UI,hk_prompt_button,"css==button[onclick=""jsPrompt()""]","css==button[onclick=""jsPrompt()""]","css==button[onclick=""jsPrompt()""]"
UI,hk_result_text,css==#result,css==#result,css==#result
UI,hk_expected_alert_result,You successfully clicked an alert,You successfully clicked an alert,You successfully clicked an alert
UI,hk_expected_confirm_result,You clicked: Ok,You clicked: Ok,You clicked: Ok
UI,hk_expected_prompt_result,You entered: Test,You entered: Test,You entered: Test
UI,hk_hovers_link,"css==a[href=""/hovers""]","css==a[href=""/hovers""]","css==a[href=""/hovers""]"
UI,hk_user_avatar,css==.figure:nth-child(3) img,css==.figure:nth-child(3) img,css==.figure:nth-child(3) img
UI,hk_user_info,css==.figure:nth-child(3) .figcaption h5,css==.figure:nth-child(3) .figcaption h5,css==.figure:nth-child(3) .figcaption h5
